ID,Language_ID,Parameter_ID,Value
dsb-name,dsb,name,Lower Sorbian
dsb-family,dsb,family,Slavic (West) < Indo-European
dsb-context,dsb,context,"Lower Sorbian: West Slavic minority language of Lower Lusatia in eastern Germany, centered on Cottbus/Chóśebuz — the smaller, more endangered sibling of Upper Sorbian, written since the 16th century and shaped by a millennium of German contact. That contact is exactly why it is here: the library holds WOLD's Lower Sorbian vocabulary, 1,765 entries scored for borrowing (German loans thick among them), plus 2,776 reflex rows and the IE-CoR cognate variety below."
dsb-provenance,dsb,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
dum-name,dum,name,Middle Dutch
dum-family,dum,family,Germanic (West)
dum-context,dum,context,"Middle Dutch is the West Germanic of the Low Countries between roughly 1150 and 1500 — not one standard but a family of written dialects (Flemish, Brabantian, Hollandic, Limburgish) with a rich literature running from the fox epic Van den vos Reynaerde to the mystic Hadewijch. It is the direct ancestor of modern Dutch. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Germanic relatives."
dum-provenance,dum,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
dv-name,dv,name,Dhivehi
dv-family,dv,family,Indo-European (Indo-Aryan)
dv-context,dv,context,"The Indo-Aryan language of the Maldives, sister to Sinhala, written right-to-left in its own Thaana script whose letter shapes began as Arabic numerals. It reaches this library through the etymology desk's cognate lists."
dv-provenance,dv,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
egl-name,egl,name,Emilian
egl-family,egl,family,Indo-European (Romance)
egl-context,egl,context,"The Gallo-Italic speech of Emilia, from Piacenza to Bologna, with heavy vowel reduction and fronted rounded vowels that give it a Gallic cast; it forms a continuum with Romagnol to the east. It reaches this library through the etymology desk's cognate lists."
egl-provenance,egl,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
egx-name,egx,name,Egyptian (family umbrella)
egx-family,egx,family,Afro-Asiatic (Egyptian branch)
egx-context,egx,context,"The ISO 639-5 collective code for the Egyptian branch of Afro-Asiatic — not one language but the umbrella over the whole Nile-valley lineage, Old Egyptian through Middle, Late, Demotic and Coptic, some four thousand years of written record. The library's mass rides the stage codes (egy, dem, cop, and their kin); egx surfaces only where an upstream record says just ""Egyptian"" without claiming a stage — currently a handful of passages from the Elephantine papyri database (a salt-tax receipt and an unclear fragment, 5 passages). The umbrella dossier exists so that tag resolves honestly rather than being forced into a stage upstream never asserted."
egx-provenance,egx,provenance,"noted: 2026-08-02 (curated note added, Wikipedia-derived)"
egy-name,egy,name,Egyptian
egy-family,egy,family,Afro-Asiatic (Egyptian)
egy-context,egy,context,"Language of the Nile valley from ca. 3200 BCE through its Old, Middle and Late stages, written in hieroglyphs and hieratic and held here in Egyptological transliteration. The bulk is AES — Ancient Egyptian Sentences (TLA/BBAW snapshot, 13,026 documents) carrying 826,322 gold lemma rows, joined by TLA's official Demotic and Late Egyptian Hugging Face sets, 189 CDLI entries and the UD_Egyptian-PC treebank — 13,220 documents, 121,871 passages in all, with the TLA Ägyptische Wortliste (35,052 entries) as the house dictionary."
egy-provenance,egy,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
egy-Egyd-name,egy-Egyd,name,Egyptian (Demotic)
egy-Egyd-family,egy-Egyd,family,Egyptian < Afro-Asiatic
egy-Egyd-context,egy-Egyd,context,Two Demotic documentary papyri.
egy-Egyd-provenance,egy-Egyd,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
el-name,el,name,Modern Greek
el-family,el,family,Indo-European (Hellenic)
el-context,el,context,The ISO 639-1 alias of ell — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
el-provenance,el,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
ell-name,ell,name,Greek
ell-family,ell,family,Hellenic
ell-context,ell,context,"Modern Greek is the living end of the longest continuously recorded language lineage in Europe — Greek has some three and a half millennia of written history. The standard language, official in Greece and Cyprus, settled its long diglossia between learned Katharevousa and the vernacular Dimotiki only in 1976; the data here includes the standard together with the Cypriot and Italiot (southern-Italian Griko) varieties. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Indo-European relatives."
ell-provenance,ell,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
elx-name,elx,name,Elamite
elx-family,elx,family,language isolate (Elamite)
elx-context,elx,context,"Achaemenid royal inscriptions (ario, P31-0): the Elamite versions of the trilinguals; upstream tags elx per word but ships no gloss-elx, so the shelf is honestly lemma-less."
en-name,en,name,English (legacy tag)
en-family,en,family,West Germanic
en-context,en,context,"One GRETIL stray using the 2-letter tag — the corpus standardizes on eng. (In etymology edges ""en"" is Wiktionary's normal English code.)"
en-provenance,en,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
eng-name,eng,name,English
eng-family,eng,family,West Germanic
eng-context,eng,context,"The translation layer — Perseus/First1K editions, WEB bible, SAA tablet translations, Freising rendering; never an original."
eng-provenance,eng,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
enm-name,enm,name,Middle English
enm-family,enm,family,"Indo-European (Germanic, West)"
enm-context,enm,context,"The English of roughly 1150–1500 — the language of Chaucer, Langland and the Gawain-poet — standing between Old English and the early modern standard. Norse contact and the Norman French superstrate reshaped its vocabulary and levelled its inflections, so nearly every modern English word passes through it on the way back to older stages. It reaches this library through the etymology desk's cognate lists, where Wiktionary's descendant trees cite it in the tens of thousands."
enm-provenance,enm,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
enm-esc-name,enm-esc,name,Early Scots
enm-esc-family,enm-esc,family,"Indo-European (Germanic, West)"
enm-esc-context,enm-esc,context,"The northern Anglic variety written in Scotland from the late 14th century to about 1450, emerging from Northumbrian Middle English; Barbour's Brus is its landmark text. Wiktionary files it as an etymology-only variety under Middle English. It reaches this library through the etymology desk's cognate lists."
enm-esc-provenance,enm-esc,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
eo-name,eo,name,Esperanto
eo-family,eo,family,constructed
eo-context,eo,context,"Zamenhof's 1887 international auxiliary language, the only constructed language with a continuous speech community — including native speakers — and a large translated and original literature. Its roots are drawn from Romance, Germanic and Slavic stock, which is why it appears in descendant lists. It reaches this library through the etymology desk's cognate lists."
eo-provenance,eo,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
es-name,es,name,Spanish
es-family,es,family,Indo-European (Romance)
es-context,es,context,The ISO 639-1 alias of spa — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
es-provenance,es,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
esu-name,esu,name,Central Alaskan Yupik
esu-family,esu,family,Eskimo-Aleut (Yupik)
esu-context,esu,context,"The largest Alaska Native language, spoken in the Yukon-Kuskokwim delta region, with polysynthetic morphology and a written tradition begun by Moravian and Orthodox missions. Its Russian-era loanwords are why it surfaces among Slavic descendants. It reaches this library through the etymology desk's cognate lists."
esu-provenance,esu,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
et-name,et,name,Estonian
et-family,et,family,Uralic (Finnic)
et-context,et,context,"The Finnic national language of Estonia, whose three contrastive degrees of quantity make it a phonological celebrity; its standard grew from Bible translation through the 19th-century awakening to full state use. It reaches this library through the etymology desk's cognate lists."
et-provenance,et,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
ett-name,ett,name,Etruscan
ett-family,ett,family,"Tyrsenian (with Raetic and Lemnian, per Rix 1998; no demonstrated external relatives)"
ett-context,ett,context,"Attested ~700 BCE-1st c. CE in Etruria; ~13,000 inscriptions, mostly epitaphs and dedications; Old Italic script, right-to-left. Corpus: open-etruscan (P29-0); dictionaries: larth-etp + wiktionary-ett."
fa-name,fa,name,Persian
fa-family,fa,family,Indo-European (Iranian)
fa-context,fa,context,The ISO 639-1 alias of fas — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
fa-provenance,fa,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
fa-cls-name,fa-cls,name,Classical Persian
fa-cls-family,fa-cls,family,Indo-European (Iranian)
fa-cls-context,fa-cls,context,"The New Persian of the great literary millennium from Rudaki and Ferdowsi to Hafez and Jami, the koine of courts from Anatolia to Bengal and the source through which Persian vocabulary flooded Turkish, Urdu and their neighbours. Wiktionary files it as an etymology-only stage under fa. It reaches this library through the etymology desk's cognate lists."
fa-cls-provenance,fa-cls,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
fa-ira-name,fa-ira,name,Iranian Persian
fa-ira-family,fa-ira,family,Indo-European (Iranian)
fa-ira-context,fa-ira,context,"The modern Persian of Iran, Wiktionary's country-scoped variety distinguishing Tehrani-standard forms and pronunciation from Dari and Tajik. It reaches this library through the etymology desk's cognate lists."
fa-ira-provenance,fa-ira,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
fao-name,fao,name,Faroese
fao-family,fao,family,Germanic (North)
fao-context,fao,context,"Faroese is the North Germanic language of the Faroe Islands, descended from the Old West Norse of Viking-age settlers and spoken by roughly 70,000 people. Left unwritten through centuries of Danish rule, it regained a written form with V. U. Hammershaimb's etymologizing orthography of 1846; with Icelandic it is the most conservative living Scandinavian language, though the two are not mutually intelligible in speech. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Germanic relatives."
fao-provenance,fao,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
fas-name,fas,name,Persian
fas-family,fas,family,Western Iranian
fas-context,fas,context,"New Persian — the literary language of the eastern Islamicate world, carried here by the poetry of Ḥāfiẓ and the prose of Ibn Sīnā and their peers. Nabu stages it as the Persian shelf of OpenITI — ~688 primary versions / ~38.7 M words — arriving at the owner's first `sync openiti`. Written in the Arabic script but on the Persian keyboard (farsi yeh U+06CC, keheh U+06A9, plus پ چ ژ گ), it is minted as `fas` from the `-per*` URI suffix — never `per` — so the P41-3 Arabic-script fold keys on the stored tag and folds Persian onto the same skeleton as Arabic (ara). Unannotated: full-text search and the AH death-year timeline are its instruments."
fas-provenance,fas,provenance,"authored: 2026-07-22 (P41-4 — the Arabic phase, OpenITI staged)"
fax-name,fax,name,Fala
fax-family,fax,family,Indo-European (Romance)
fax-context,fax,context,"The Galician-Portuguese offshoot of three villages in the Jálama valley of Spanish Extremadura, carried there by medieval resettlement and still vigorously spoken as A Fala. It reaches this library through the etymology desk's cognate lists."
fax-provenance,fax,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
fay-name,fay,name,Southwestern Fars
fay-family,fay,family,Iranian (Southwestern)
fay-context,fay,context,"Southwestern Fars is a cluster of Southwestern Iranian dialects, kin to Persian, spoken in villages of Fars province and the Persian Gulf hinterland of Iran. The wordlist filed here is IE-CoR's Delvari, the dialect of Delvar on the Bushehr coast. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Iranian relatives."
fay-provenance,fay,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
fi-name,fi,name,Finnish
fi-family,fi,family,Uralic (Finnic)
fi-context,fi,context,"The largest Finnic language, standardized from Agricola's 16th-century Bible work and Lönnrot's Kalevala era onward; its conservative phonology preserves early Germanic and Baltic loanwords almost fossil-fresh, which makes it a constant witness in etymological work. It reaches this library through the etymology desk's cognate lists."
fi-provenance,fi,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
fng-name,fng,name,Fanagalo
fng-family,fng,family,Zulu-lexified pidgin
fng-context,fng,context,"The pidgin of the southern African mines, built mainly on Zulu with English and Afrikaans layers, once taught to migrant workers as a compound lingua franca and now receding. It reaches this library through the etymology desk's cognate lists."
fng-provenance,fng,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
fo-name,fo,name,Faroese
fo-family,fo,family,"Indo-European (Germanic, North)"
fo-context,fo,context,The ISO 639-1 alias of fao — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
fo-provenance,fo,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
fpe-name,fpe,name,Pichinglis
fpe-family,fpe,family,English-lexified creole
fpe-context,fpe,context,"Fernando Po Creole English, the Krio offshoot of Bioko island in Equatorial Guinea, carried by Fernandino settlers in the 19th century and still a market lingua franca beside Spanish. It reaches this library through the etymology desk's cognate lists."
fpe-provenance,fpe,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
fr-name,fr,name,French
fr-family,fr,family,Indo-European (Romance)
fr-context,fr,context,The ISO 639-1 alias of fra — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
fr-provenance,fr,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
fra-name,fra,name,French
fra-family,fra,family,Romance (Gallo-Romance) < Italic < Indo-European
fra-context,fra,context,"Modern French: the Gallo-Romance language grown from the spoken Latin of northern Gaul over a Gaulish substrate and under Frankish influence, standardized from the dialect of Paris and carried worldwide. Its medieval stage has its own deep shelf here (fro, the BFM corpus); under this code French appears chiefly as the language OF scholarship — RIIG's French translation lane over the Gaulish inscriptions (74 documents) — plus French reflex rows in the etymological shelves and the IE-CoR cognate variety below."
fra-provenance,fra,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
frk-name,frk,name,Frankish
frk-family,frk,family,"Indo-European (Germanic, West)"
frk-context,frk,context,"The West Germanic language of the Merovingian Franks, unwritten but recoverable from names, legal terms in the Lex Salica, and the several hundred loanwords it left in Gallo-Romance on the way to French. Wiktionary reconstructs its forms with asterisks. It reaches this library through the etymology desk's cognate lists."
frk-provenance,frk,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
frm-name,frm,name,Middle French
frm-family,frm,family,"Romance (Gallo-Romance, Oïl)"
frm-context,frm,context,"The French of ca. 1330–1610, between Old French and the classical language. Held as the UD_Middle_French-PROFITEROLE treebank (three CoNLL-U splits, 5,971 sentences) with 72,230 gold lemma rows; 3,938 reflex edges tie it into the Romance etymology net."
frm-provenance,frm,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
fro-name,fro,name,Old French
fro-family,fro,family,"Romance (Gallo-Romance, langue d'oïl) < Italic < Indo-European"
fro-context,fro,context,"The langue d'oïl of northern France, ~9th–14th centuries: the first Romance vernacular with a great written literature, running from the Strasbourg Oaths (842) through the chansons de geste and Chrétien de Troyes to the eve of Middle French. This is one of the library's deepest medieval shelves: the Base de français médiéval (BFM2022, ENS de Lyon) supplies 219 texts and 333,819 passages, the UD Old French treebank adds 20,350 parsed sentences, and thousands of Old French reflex rows thread the etymological shelves — with the IE-CoR cognate variety below."
fro-provenance,fro,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
fro-nor-name,fro-nor,name,Old Northern French
fro-nor-family,fro-nor,family,"Indo-European (Romance, Oïl)"
fro-nor-context,fro-nor,context,Wiktionary's etymology-only label for the northern dialects of Old French — Norman and Picard foremost — whose unpalatalized velars mark loans like 'castle' and 'cattle' against their central French doublets. It reaches this library through the etymology desk's cognate lists.
fro-nor-provenance,fro-nor,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
frp-name,frp,name,Franco-Provençal
frp-family,frp,family,Romance (Gallo-Romance)
frp-context,frp,context,"Franco-Provençal, or Arpitan, is a Gallo-Romance language of the western Alps — east-central France, French-speaking Switzerland and the Aosta Valley in Italy — distinct from both French and Occitan, as Graziadio Ascoli argued when he named it in 1873. Never standardized and long dismissed as patois, it survives in scattered and mostly elderly communities, most vigorously in Aosta. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Romance relatives."
frp-provenance,frp,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
frr-name,frr,name,North Frisian (dialects)
frr-context,frr,context,"frr-* codes are North Frisian dialect tags — Föhr-Amrum (frr-fam), Sylt (frr-syl), Heligoland (frr-hel)…."
frr-provenance,frr,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
frs-name,frs,name,Frisian
frs-family,frs,family,"Germanic (West, Frisian)"
frs-context,frs,context,"The code frs is ISO's 'Eastern Frisian', nominally the Frisian side of East Frisia in Lower Saxony, but the cognate set filed here is IE-CoR's 'Frisian', keyed to Glottolog's Western Frisian — the Frisian language of the Dutch province of Fryslân, co-official there beside Dutch with some 400,000-plus speakers. Frisian is English's closest continental kin: Old Frisian and Old English together made up the Anglo-Frisian corner of West Germanic. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Germanic relatives."
frs-provenance,frs,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
fur-name,fur,name,Friulian
fur-family,fur,family,Romance (Rhaeto-Romance)
fur-context,fur,context,"Friulian is a Romance language of the Rhaeto-Romance group spoken by several hundred thousand people in Friuli, northeastern Italy, around Udine. With a written tradition since the 14th century and legal recognition as a minority language, it is the largest of the three Rhaeto-Romance languages, beside Ladin and Romansh. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Romance relatives."
fur-provenance,fur,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
fy-name,fy,name,West Frisian
fy-family,fy,family,"Indo-European (Germanic, West)"
fy-context,fy,context,"The Frisian of the Dutch province of Fryslân, the largest of the Frisian languages and, with English, part of the North Sea Germanic group that shares palatalizations English otherwise shows alone. It has a standard form, official status and a literature from the 17th-century poet Gysbert Japicx onward. It reaches this library through the etymology desk's cognate lists."
fy-provenance,fy,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
ga-name,ga,name,Irish
ga-family,ga,family,"Indo-European (Celtic, Goidelic)"
ga-context,ga,context,The ISO 639-1 alias of gle — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
ga-provenance,ga,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gd-name,gd,name,Scottish Gaelic
gd-family,gd,family,"Indo-European (Celtic, Goidelic)"
gd-context,gd,context,The ISO 639-1 alias of gla — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
gd-provenance,gd,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gem-name,gem,name,Germanic
gem-context,gem,context,The Germanic branch; gem-pro (Proto-Germanic) is a held reconstruction shelf bridging PIE to Gothic and Old English.
gem-provenance,gem,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
gem-pro-name,gem-pro,name,Proto-Germanic
gem-pro-family,gem-pro,family,Germanic < Indo-European (reconstructed)
gem-pro-context,gem-pro,context,~5.7k reconstructions bridging PIE to Gothic and Old English; a gem-pro meet under a Slavic witness reads as a borrowing.
gem-pro-provenance,gem-pro,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
ger-name,ger,name,German
ger-family,ger,family,West Germanic
ger-context,ger,context,Modern scholarly translations of the Freising Manuscripts (one per manuscript).
ger-provenance,ger,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
gez-name,gez,name,Geʿez
gez-family,gez,family,Ethio-Semitic (South Semitic)
gez-context,gez,context,"Classical language of Aksum and the Ethiopian and Eritrean churches, written in the fidäl syllabary; Enoch and Jubilees survive complete only in Gǝʿǝz. Held: 3,774 Beta maṣāḥǝft works records plus 15 TraCES morphologically analyzed texts — 141,836 passages, 85,767 gold lemma rows — with Dillmann's Lexicon linguae aethiopicae (TraCES digital edition, 13,727 entries) as the dictionary."
gez-provenance,gez,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
ghc-name,ghc,name,Hiberno-Scottish Gaelic
ghc-family,ghc,family,"Indo-European (Celtic, Goidelic)"
ghc-context,ghc,context,"Classical Gaelic, the shared literary standard cultivated by the bardic schools of Ireland and Scotland from the 13th to the 18th century, holding the two vernaculars under one written norm. It reaches this library through the etymology desk's cognate lists."
ghc-provenance,ghc,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gkm-name,gkm,name,Medieval Greek
gkm-family,gkm,family,Hellenic < Indo-European
gkm-context,gkm,context,"Byzantine Greek, ca. 600–1453 — the stage between the papyri's Koine and Modern Greek; frequent in descendant trees as the donor of Slavic and Romance borrowings."
gkm-provenance,gkm,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
gl-name,gl,name,Galician
gl-family,gl,family,Indo-European (Romance)
gl-context,gl,context,"The Romance language of Galicia, sharing medieval origin with Portuguese in the Galician-Portuguese lyric of the cantigas, then reborn from its 'dark centuries' through Rosalía de Castro's Rexurdimento to co-official status. It reaches this library through the etymology desk's cognate lists."
gl-provenance,gl,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gla-name,gla,name,Scottish Gaelic
gla-family,gla,family,Celtic (Goidelic)
gla-context,gla,context,"Scottish Gaelic is the Goidelic Celtic language of Scotland, carried over from Ireland in the early Middle Ages and once spoken across most of the country; its heartland today is the Outer Hebrides, with some 60,000 speakers and official recognition since 2005. Its literary tradition runs from the Classical Gaelic shared with Ireland's bards to the vernacular poetry of the 18th century. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Celtic relatives."
gla-provenance,gla,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
gle-name,gle,name,Irish
gle-family,gle,family,Celtic (Goidelic) < Indo-European
gle-context,gle,context,"Irish: the Goidelic Celtic language of Ireland, modern stage of the lineage that runs Primitive Irish (the ogham stones) through Old and Middle Irish to today's Gaeltacht communities and the state's first official language. The library's Goidelic depth lies a millennium earlier, under sga; this code holds the modern end lightly — a pair of ogham-shelf objects tagged modern Irish and the IE-CoR cognate variety below."
gle-provenance,gle,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
glh-name,glh,name,Northwest Pashai
glh-family,glh,family,Indo-Aryan (Dardic)
glh-context,glh,context,"Northwest Pashai is one of the four ISO-coded Pashai languages, Indo-Aryan (Dardic) vernaculars of the valleys north of the Kabul river in northeastern Afghanistan. The Pashai, perhaps several hundred thousand in all, are mostly bilingual in Pashto, and their largely unwritten varieties are remnants of the Indo-Aryan speech that once covered eastern Afghanistan. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Indo-Aryan relatives."
glh-provenance,glh,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
glk-name,glk,name,Gilaki
glk-family,glk,family,Indo-European (Iranian)
glk-context,glk,context,"The Caspian language of Gilan in northern Iran, a Northwestern Iranian tongue closer in several respects to Zazaki and Talysh than to Persian, spoken by a few million along the coast and Alborz slopes. It reaches this library through the etymology desk's cognate lists."
glk-provenance,glk,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
glv-name,glv,name,Manx
glv-family,glv,family,Celtic (Goidelic)
glv-context,glv,context,"Manx is the Goidelic Celtic language of the Isle of Man, sister to Irish and Scottish Gaelic but spelled in an orthography built on English habits. Its last traditional native speaker, Ned Maddrell, died in 1974; a determined revival since — including a Manx-medium primary school — has raised a new generation of speakers. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Celtic relatives."
glv-provenance,glv,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
gme-cgo-name,gme-cgo,name,Crimean Gothic
gme-cgo-family,gme-cgo,family,"Indo-European (Germanic, East)"
gme-cgo-context,gme-cgo,context,"The East Germanic speech that survived in Crimea into the 16th century, when the Flemish envoy Ogier Ghiselin de Busbecq recorded some eighty words and a song fragment from two informants in Constantinople. That list is nearly all that remains of it. It reaches this library through the etymology desk's cognate lists beside its Gothic cousin."
gme-cgo-provenance,gme-cgo,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmh-name,gmh,name,Middle High German
gmh-family,gmh,family,Germanic (West) < Indo-European
gmh-context,gmh,context,"The German of ~1050–1350, between Old High German and the early modern standard: the language of the great courtly age — the Nibelungenlied, Walther von der Vogelweide, Wolfram's Parzival — written in Latin script across a landscape of dialects with a supra-regional poetic koiné at its height. This is the library's largest German holding: the Referenzkorpus Mittelhochdeutsch (ReM v2.1) brings 406 lemmatized, POS-tagged documents and 355,449 passages, openMGH's Monumenta Germaniae Historica editions add 11 more, and 25,932 reflex rows carry its words through the etymological shelves — IE-CoR's cognate variety below."
gmh-provenance,gmh,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
gml-name,gml,name,Middle Low German
gml-family,gml,family,West Germanic
gml-context,gml,context,"Written language of the Hanseatic world, ca. 1200–1650, from the Baltic trading towns to the North Sea coast. Held as ReN — Referenzkorpus Mittelniederdeutsch/Niederrheinisch v1.1: 235 documents, 297,504 passages, 1,229,680 gold lemma rows, plus 20,431 reflex edges into the Germanic etymology net."
gml-provenance,gml,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
gmq-name,gmq,name,North Germanic
gmq-context,gmq,context,"The Scandinavian branch — Old Swedish (gmq-osw), Old Danish (gmq-oda), Old/modern Gutnish (gmq-ogt/gut), Proto-Norse (gmq-pro)."
gmq-provenance,gmq,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
gmq-gut-name,gmq-gut,name,Gutnish
gmq-gut-family,gmq-gut,family,"Indo-European (Germanic, North)"
gmq-gut-context,gmq-gut,context,"The North Germanic speech of Gotland and Fårö, continuing Old Gutnish — the branch that stands apart from both East and West Norse — into the modern day. It survives beside standard Swedish as a fading rural vernacular. It reaches this library through the etymology desk's cognate lists."
gmq-gut-provenance,gmq-gut,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmq-jmk-name,gmq-jmk,name,Jamtish
gmq-jmk-family,gmq-jmk,family,"Indo-European (Germanic, North)"
gmq-jmk-context,gmq-jmk,context,"The Norse dialects of Jämtland in Sweden, of West Norse descent but long under Swedish influence, keeping distinctive vowel developments and vocabulary. Wiktionary tracks it as a separate descendant line from Old Norse. It reaches this library through the etymology desk's cognate lists."
gmq-jmk-provenance,gmq-jmk,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmq-mno-name,gmq-mno,name,Middle Norwegian
gmq-mno-family,gmq-mno,family,"Indo-European (Germanic, North)"
gmq-mno-context,gmq-mno,context,"The Norwegian of roughly 1350–1550, between Old Norwegian and the Dano-Norwegian written era, a period of heavy simplification under plague-era disruption and Danish rule. It reaches this library through the etymology desk's cognate lists."
gmq-mno-provenance,gmq-mno,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmq-oda-name,gmq-oda,name,Old Danish
gmq-oda-family,gmq-oda,family,"Indo-European (Germanic, North)"
gmq-oda-context,gmq-oda,context,"The East Norse of Denmark from the Viking Age runes to about 1525, when the medieval language shades into Early Modern Danish; provincial laws like the Jyske Lov are its main monuments. It reaches this library through the etymology desk's cognate lists as a link between Old Norse and modern Danish."
gmq-oda-provenance,gmq-oda,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
gmq-ogt-name,gmq-ogt,name,Old Gutnish
gmq-ogt-family,gmq-ogt,family,"Indo-European (Germanic, North)"
